Source,Target,Type,Label,Weight
Repo:XRIM-Lab/GS-CPR,Method:gs-cpr,Directed,repo_implements_method,1.0
Repo:MiraPurkrabek/RePoGen,Method:repogen,Directed,repo_implements_method,1.0
Method:repogen,Dataset:coco,Directed,method_uses_dataset,0.95
Repo:fazildgr8/realsense_explorer_bot,Method:rrt,Directed,repo_implements_method,0.9
Repo:fazildgr8/realsense_explorer_bot,Method:ros,Directed,repo_implements_method,1.0
Repo:DIYer22/bpycv,Method:bpycv,Directed,repo_implements_method,1.0
Method:bpycv,Dataset:shapenet,Directed,method_uses_dataset,0.9
Repo:xuxy09/RSC-Net,Method:texglo,Directed,repo_implements_method,0.95
Repo:FORTH-ModelBasedTracker/MocapNET,Method:nsrm,Directed,repo_implements_method,0.9
Paper:2211.07600,Method:latent-nerf,Directed,paper_proposes_method,1.0
Paper:2211.07600,Method:sketch-shape,Directed,paper_proposes_method,0.95
Paper:2111.15246,Method:ha-nerf,Directed,paper_proposes_method,1.0
Paper:2211.16431,Method:neurallift-360,Directed,paper_proposes_method,1.0
